County,District,Exemp_12.13,Exemp_13.14,Exemp_14.15,Exemp_15.16,Exemp_16.17,Exemp_17.18,Type,Pop_16
collin,community isd,1.06,1.28,1.23,1.55,1.28,1.47,g,2087
collin,coram deo academy of collin county,9.91,9.57,10.45,12.19,11.32,12.5,o,370
collin,faith lutheran school plano,9.09,7.21,2.86,5.45,NA,12.15,o,NA
collin,farmersville isd,1.1,0.33,1.44,1.04,1.34,0.99,g,1596
collin,frisco isd,1.52,1.69,1.9,2.05,2.17,2.2,c,55923
collin,good tree academy allen,NA,NA,NA,NA,0.61,NA,o,NA
collin,grace academy of north texas,NA,NA,NA,10.69,NA,NA,o,NA
collin,grace classical,NA,NA,NA,NA,6.1,NA,o,NA
collin,great lakes academy,7.46,9.59,5,8.33,11.58,9.41,o,105
collin,imagine international academy of north t,NA,3.52,0,5.62,5.28,3.8,o,NA
collin,john paul ii high school plano,0.3,0.14,0,0,0,0,o,735
collin,leadership prep school,3.14,2.35,3.65,4.54,4.8,6.47,i,520
collin,legacy christian academy,3.86,2.86,4.92,5.51,7.08,7.48,o,912
collin,lovejoy isd,1.85,0,0.58,0.56,0.81,0.79,f,4070
collin,mckinney christian academy,3.49,3.75,3.14,5.74,NA,NA,o,NA
collin,mckinney isd,1.46,1.52,1.61,1.8,1.89,2.09,d,24851
collin,melissa isd,2.83,2.58,3.15,2.53,2.32,3.08,f,2630
collin,north texas christian academy,NA,2.5,6.77,10.09,NA,NA,o,NA
collin,our savior lutheran preschool,NA,NA,NA,5.13,NA,NA,o,NA
collin,plano isd,1.13,1.46,1.64,1.76,1.91,1.98,b,54173
collin,prestonwood crhistian academy,3.2,3.14,2.2,4.26,4.87,NA,o,100
collin,primrose school of eldorado,NA,NA,0.7,NA,NA,NA,o,NA
collin,prince of peace catholic sch,0,0,0,0,NA,0,o,NA
collin,princeton isd,0.17,0.88,0.45,0.45,0.48,0.48,f,4160
collin,prosper isd,2.35,3.09,2.43,3.12,3.03,3.14,d,9998
collin,spring creek academy,3.38,3.51,1.65,2.4,3.77,2.86,o,200
collin,st mark catholic sch,0,0,0,0,0,0,o,556
collin,trivium academy,NA,NA,NA,NA,12.43,12.4,o,NA
collin,willow bend academy,0,0,0,0,NA,2.47,o,NA
collin,wylie isd,0.79,1.08,1.08,1.31,1.45,1.48,d,15021
collin,wylie preparatory school,6.58,3.98,4.87,4.14,0.99,7.99,o,300
collingsworth,wellington isd,2.02,2.31,2.89,1.16,1.32,1.99,h,607
colorado,columbus isd,0.38,0.38,0.38,0.33,0.07,0.34,g,1573
colorado,rice cisd,NA,NA,NA,NA,0,0.16,g,1338
colorado,st anthony catholic sch,0,0,0,0,0,NA,o,145
colorado,st michael school,0,0,NA,0,0,NA,o,NA
colorado,weimar isd,0.19,0.18,0.34,0.68,0.16,0.65,h,647
comal,bracken christian school,4.87,5.93,7.57,11,9.32,9.13,o,243
comal,comal isd,1.04,1.52,1.3,1.44,1.48,1.88,b,22240
comal,cross lutheran school new bruanfels,0.74,1.82,1.23,0,3.03,NA,o,140
comal,gloria deo academy,NA,NA,NA,9.09,21.1,19.81,o,NA
comal,i cento school,NA,NA,9.3,10.53,NA,NA,o,NA
comal,john paul ii high school new braunfels,NA,0,NA,0,0,NA,o,NA
comal,new braunfels christian academy,NA,NA,1.54,3.76,4.94,8.93,o,NA
comal,new braunfels isd,1.16,1.54,1.46,1.58,1.69,1.74,c,8610
comal,sts peter & paul catholic sch,0,0,0,0,0,0,o,350
comanche,comanche isd,0.6,1.03,1.03,1,0.81,0.99,g,1370
